ResponseId,Finished,Duration (in seconds),Status,SC0,gender,age,race,hispanic_origin,education,country_origin,region,politics,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,attention1,attention2,attention_meat_exp,attention_oil_inf,attention_meat_infl,attention_oil_exp,Q_RecaptchaScore,Q_DuplicateRespondent,complete,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,oil_infl_accurate,post_oil_authentic,post_oil_believable,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,condition_sequence,order_pattern,post_meat_source,post_oil_source,keep_flag,expert_trust_index,health_engagement_index,meat_exp_cred,meat_infl_cred,meat_cred,oil_exp_cred,oil_infl_cred,oil_cred,age_group
R_3cjSYplLQwSt4YI,1,397,0,3,2,35-44,1,1,3,1,3,7,7,7,7,7,7,7,7,7,7,7,7,"1,3,5",4,2,,,4,4,0.5,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,0,7,7,,7,7,7,,7,35-54
R_6CdcSavN0H5wpTX,1,375,0,0,2,45-54,4,2,4,1,4,4,4,4,4,5,3,5,5,6,5,5,5,"1,3,6",4,3,,,1,1,1,,1,,,,5,4,5,6,5,6,,,,6,5,6,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,4,5.2,,5.66666666666667,5.66666666666667,4,,4,35-54
R_72XBAZLUyXpti3j,1,288,0,1,2,18-24,1,2,3,1,1,2,6,6,5,2,3,6,6,6,6,6,6,"1,2,3",4,3,1,3,,,1,,1,6,6,6,5,6,6,6,6,6,6,6,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.4,6,6,,6,,6,6,18-34
R_5re32KZRsxtR97P,1,396,0,0,1,18-24,2,2,3,1,2,4,7,6,7,5,5,7,5,7,6,7,7,"1,2,3,4,6",4,3,,,1,1,1,,1,,,,7,4,5,5,5,4,,,,7,5,7,7,6,7,influencer_meat_expert_oil,tfft,influencer,expert,1,6,6.4,,6.33333333333333,6.33333333333333,6.66666666666667,,6.66666666666667,18-34
R_5WTmTROurDFkWi2,1,421,0,0,1,55-64,2,2,4,1,3,4,7,7,7,1,7,4,7,7,7,7,7,"1,6",4,3,1,1,,,0.899999976158142,,1,4,4,4,7,7,7,7,7,7,4,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.8,7,4,,4,,4,4,55+
R_6f728Po0vqvEK6S,1,582,0,2,2,25-34,2,2,2,1,3,4,6,6,6,5,4,6,6,6,6,6,4,"1,2,3,4",4,3,3,4,,,1,,1,4,6,5,6,5,6,5,5,5,4,5,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5.4,5.6,5,,5,,5,5,18-34
R_3GkqAHXd7nJKSoF,1,365,0,0,1,35-44,1,2,6,1,2,3,5,5,6,4,5,5,5,5,6,6,6,"1,3,4,6",4,3,,,1,1,1,,1,,,,4,4,5,5,5,5,,,,3,3,4,3,3,3,influencer_meat_expert_oil,ftft,influencer,expert,1,5,5.6,,3.33333333333333,3.33333333333333,3,,3,35-54
R_7odz98rq18HiDHH,1,353,0,0,1,35-44,1,2,2,1,1,2,4,4,4,4,4,4,7,7,5,6,7,"1,3,4,6,5",4,3,1,1,,,0.899999976158142,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4,6.4,7,,7,,7,7,35-54
R_5Ega2a7z4EsRoBV,1,379,0,0,2,55-64,1,2,4,1,3,7,5,6,6,3,2,7,7,7,7,7,7,"1,3",4,3,,,1,1,1,,1,,,,6,6,7,7,7,7,,,,6,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,4.4,7,,6.66666666666667,6.66666666666667,7,,7,55+
R_61HxlTXtmobGGWr,1,362,0,0,2,25-34,1,2,3,1,4,6,5,5,6,5,3,6,6,5,7,6,5,"4,6",4,3,,,1,1,1,,1,,,,7,7,7,7,6,6,,,,1,3,1,5,5,5,influencer_meat_expert_oil,tfft,influencer,expert,1,4.8,5.8,,1.66666666666667,1.66666666666667,5,,5,18-34
R_5qy5SjU9KLuYOM9,1,376,0,1,2,18-24,2,2,2,1,3,5,4,4,5,5,3,5,5,5,4,4,3,1,4,3,1,4,,,1,,1,4,4,4,4,4,4,4,4,4,5,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.2,4.2,4,,4,,4.33333333333333,4.33333333333333,18-34
R_5HnmWydrD6RDHy2,1,406,0,0,2,35-44,2,2,3,1,3,4,5,6,5,5,5,6,5,6,5,6,5,"1,2,3,4,6",4,3,1,1,,,1,,1,4,4,4,6,5,6,7,6,6,4,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.2,5.4,4,,4,,4,4,35-54
R_5wmTl1gYW5NksjT,1,480,0,0,1,18-24,1,2,4,1,4,4,6,6,5,5,5,5,6,6,4,5,5,"3,4,6",4,3,1,1,,,1,,1,3,3,5,5,5,5,6,5,4,4,5,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.4,5.2,3.66666666666667,,3.66666666666667,,5,5,18-34
R_1SlFptcOLVk4hi9,1,537,0,1,2,25-34,1,2,4,1,3,6,5,4,5,5,5,5,6,5,5,5,5,"2,3,4,6",4,3,1,5,,,0.899999976158142,,1,5,7,7,6,5,4,6,6,6,4,5,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.8,5.2,6.33333333333333,,6.33333333333333,,4.33333333333333,4.33333333333333,18-34
R_6GjK5PBktM5l9mN,1,505,0,0,1,35-44,3,2,3,1,1,5,5,6,6,5,1,6,5,6,5,6,6,"1,2,6",4,3,,,1,1,0.800000011920929,,1,,,,5,5,6,6,6,6,,,,4,4,3,4,5,5,influencer_meat_expert_oil,tfft,influencer,expert,1,4.6,5.6,,3.66666666666667,3.66666666666667,4.66666666666667,,4.66666666666667,35-54
R_6zPgqKx84UzXnKC,1,553,0,1,2,45-54,,1,3,1,3,7,3,4,5,5,4,3,4,4,3,4,5,1,4,3,1,2,,,0.800000011920929,,1,3,4,3,4,4,3,4,6,5,5,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.2,4,3.33333333333333,,3.33333333333333,,4.33333333333333,4.33333333333333,35-54
R_6pmezihyIvkkbtA,1,955,0,0,1,25-34,1,2,3,1,2,4,7,7,6,7,7,7,7,6,6,5,7,"3,4",4,3,,,1,1,1,,1,,,,5,5,3,7,5,6,,,,4,5,4,3,4,3,influencer_meat_expert_oil,tfft,influencer,expert,1,6.8,6.2,,4.33333333333333,4.33333333333333,3.33333333333333,,3.33333333333333,18-34
R_6EQYXZhbMbLeA67,1,710,0,2,1,45-54,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,"3,6",4,3,2,2,,,0.800000011920929,,1,4,4,5,4,4,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4,4,4.33333333333333,,4.33333333333333,,4,4,35-54
R_311yDlHAZcq1Qe5,1,1006,0,1,1,45-54,1,1,5,1,3,5,6,6,6,5,2,6,6,6,6,6,5,"1,2,3,4,6",4,3,1,2,,,0.899999976158142,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5,5.8,7,,7,,7,7,35-54
R_6G31mV8fXb6owKI,1,777,0,0,2,25-34,2,2,3,1,1,6,7,6,7,7,5,7,4,5,4,5,7,"1,3,4",4,3,,,1,1,0.400000005960465,,1,,,,5,6,6,7,5,6,,,,7,6,7,6,6,7,influencer_meat_expert_oil,tfft,influencer,expert,0,6.4,5,,6.66666666666667,6.66666666666667,6.33333333333333,,6.33333333333333,18-34
R_5Ect4RC6alcekFR,1,697,0,0,2,55-64,2,2,3,1,3,2,5,7,7,5,1,6,6,7,6,5,6,"1,8",4,3,1,1,,,1,,1,5,6,6,3,4,3,6,6,6,4,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5,6,5.66666666666667,,5.66666666666667,,5.33333333333333,5.33333333333333,55+
R_3n2QlP1jdeU2s8t,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_6yX5skRYvqf93CF,1,262,0,1,2,45-54,1,2,4,1,3,6,5,5,5,5,1,6,5,5,5,5,5,1,4,3,,,2,1,1,,1,,,,4,3,3,3,3,3,,,,5,5,5,6,6,6,influencer_meat_expert_oil,ftft,influencer,expert,1,4.2,5,,5,5,6,,6,35-54
R_5n8zMnz3zCbn7mC,1,319,0,0,2,55-64,1,2,2,1,1,4,6,6,6,2,4,7,5,7,5,5,6,"1,6",4,3,1,1,,,0.800000011920929,,1,7,7,7,6,5,6,7,7,7,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.8,5.6,7,,7,,4,4,55+
R_3Gn0yEeCzTeXKF3,1,311,0,1,2,55-64,1,2,1,1,1,4,4,4,5,5,4,4,3,4,2,4,5,3,4,3,,,1,6,0.899999976158142,,1,,,,4,1,1,5,5,5,,,,4,4,4,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,4.4,3.6,,4,4,4,,4,55+
R_5FIEmz6I2Cnk6Vk,1,238,0,0,2,45-54,1,2,4,1,3,6,6,6,6,6,3,7,6,4,5,6,6,"1,3,4",4,3,1,1,,,0.899999976158142,,1,2,2,2,4,5,5,6,6,6,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.4,5.4,2,,2,,4,4,35-54
R_780UoieX5UOuRZ7,1,329,0,0,2,55-64,1,2,4,1,3,5,6,6,6,5,2,5,5,3,5,6,4,"1,6",4,3,,,1,1,1,,1,,,,6,6,6,5,5,6,,,,3,3,4,5,5,6,influencer_meat_expert_oil,tfft,influencer,expert,1,5,4.6,,3.33333333333333,3.33333333333333,5.33333333333333,,5.33333333333333,55+
R_7XnRqoR44KMk4Oh,1,198,0,1,1,18-24,2,2,4,1,3,4,6,5,5,5,6,4,5,7,5,6,5,"3,4,5",4,3,1,2,,,0.899999976158142,,1,5,4,6,6,6,7,6,4,5,5,6,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5.4,5.6,5,,5,,5.66666666666667,5.66666666666667,18-34
R_5sZMKsf0QBgywyY,1,813,0,1,1,35-44,2,2,2,1,3,6,6,6,6,6,7,6,7,6,6,6,6,8,2,3,,,1,1,1,,1,,,,7,6,7,7,6,7,,,,6,7,6,7,6,7,influencer_meat_expert_oil,tfft,influencer,expert,0,6.2,6.2,,6.33333333333333,6.33333333333333,6.66666666666667,,6.66666666666667,35-54
R_5Ffe4RX5T8bmwrf,1,330,0,0,1,55-64,1,2,3,1,1,4,4,5,6,6,2,7,5,5,2,4,5,1,4,3,1,1,,,0.800000011920929,,1,5,6,6,6,6,6,4,4,4,5,5,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.6,4.2,5.66666666666667,,5.66666666666667,,4.66666666666667,4.66666666666667,55+
R_6MMQmDNCD6UVtTJ,1,332,0,0,2,55-64,1,2,4,1,4,2,5,6,6,5,4,5,5,5,5,5,6,"1,5",4,3,,,1,1,1,,1,,,,6,5,6,6,5,6,,,,5,6,6,5,6,5,influencer_meat_expert_oil,tfft,influencer,expert,1,5.2,5.2,,5.66666666666667,5.66666666666667,5.33333333333333,,5.33333333333333,55+
R_6mNpEZ5CDyAB13X,1,433,0,1,2,35-44,1,2,4,1,3,7,3,3,1,5,4,5,6,6,2,7,6,"4,6",4,3,5,1,,,0.600000023841858,,1,1,1,1,2,2,2,2,2,2,1,1,1,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,3.2,5.4,1,,1,,1,1,35-54
R_1MSvKP3FtzxZKvY,1,351,0,0,2,55-64,1,2,3,1,4,6,5,4,6,4,4,5,5,6,5,5,6,6,4,3,1,1,,,1,,1,4,4,5,5,4,5,4,5,4,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.6,5.4,4.33333333333333,,4.33333333333333,,4,4,55+
R_6jWcs370HHyPRcE,1,386,0,0,1,55-64,1,2,3,1,3,4,6,6,7,4,2,6,6,6,4,6,6,"1,3",4,3,1,1,,,0.800000011920929,,1,6,6,6,4,6,4,6,6,6,6,6,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5,5.6,6,,6,,6,6,55+
R_3c64jP8FOnBJXHj,1,425,0,0,1,45-54,1,2,3,1,1,4,6,6,6,6,1,6,6,6,6,6,6,"1,5",4,3,,,1,1,1,,1,,,,1,1,1,7,7,7,,,,7,7,2,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5,6,,5.33333333333333,5.33333333333333,7,,7,35-54
R_1rue2YsUiZDoWxc,1,992,0,0,2,25-34,2,2,4,1,3,4,6,4,6,5,4,5,5,6,5,7,6,"1,3,4",4,3,,,1,1,0.899999976158142,,1,,,,7,7,6,5,5,6,,,,5,6,5,4,5,5,influencer_meat_expert_oil,tfft,influencer,expert,1,5,5.8,,5.33333333333333,5.33333333333333,4.66666666666667,,4.66666666666667,18-34
R_7Oqs9jDxNr9Te9C,1,409,0,0,1,55-64,1,2,3,1,3,1,6,6,7,4,1,5,5,5,2,4,4,1,4,3,1,1,,,0.200000002980232,,1,4,6,5,5,6,6,6,6,7,6,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4.8,4,5,,5,,6,6,55+
R_6vQubYvEQS0fRwR,1,839,0,0,1,25-34,1,2,3,1,1,1,4,4,6,7,1,5,5,6,5,4,3,6,4,3,1,1,,,1,,1,2,1,1,6,6,4,6,4,5,3,4,5,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.4,4.6,1.33333333333333,,1.33333333333333,,4,4,18-34
R_6PXeEnMb6bzj4QS,1,992,0,1,2,55-64,1,2,2,1,3,4,5,5,6,5,4,7,6,5,5,5,5,6,4,3,,,1,2,1,,1,,,,6,6,6,7,7,7,,,,7,7,7,6,6,6,influencer_meat_expert_oil,ftft,influencer,expert,1,5,5.2,,7,7,6,,6,55+
R_1m8LpxOQBODTiUr,1,1459,0,1,1,55-64,1,2,4,1,2,6,6,6,7,6,2,6,6,6,6,6,6,1,4,5,,,1,1,0.800000011920929,,1,,,,6,6,6,7,7,7,,,,6,6,6,6,6,6,influencer_meat_expert_oil,ftft,influencer,expert,0,5.4,6,,6,6,6,,6,55+
R_70qjq4D7bh0XdaT,1,400,0,0,1,45-54,1,2,3,1,1,2,6,6,6,5,3,5,6,6,6,5,5,"1,6",4,3,1,1,,,1,,1,6,6,6,6,6,6,6,6,7,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.2,5.6,6,,6,,4,4,35-54
R_1QoQmvAzzKKHFFW,1,449,0,0,1,45-54,1,2,2,1,4,7,5,6,5,7,4,7,6,6,7,5,6,"4,6",4,3,1,1,,,0.800000011920929,,1,5,3,2,7,7,7,7,7,7,3,3,2,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.4,6,3.33333333333333,,3.33333333333333,,2.66666666666667,2.66666666666667,35-54
R_6pKpn0XMF8WJxYL,1,666,0,0,1,55-64,1,2,4,1,3,6,6,5,5,7,1,7,2,2,3,5,5,"1,3,8",4,3,,,1,1,1,,1,,,,4,4,4,4,3,4,,,,5,5,5,4,4,3,influencer_meat_expert_oil,tfft,influencer,expert,1,4.8,3.4,,5,5,3.66666666666667,,3.66666666666667,55+
R_7LdsrRzLdmQFpro,1,513,0,0,1,45-54,1,2,3,1,4,4,5,6,6,5,1,6,5,6,4,6,6,"1,2,5",4,3,1,1,,,1,,1,3,3,2,7,5,6,7,6,7,5,6,5,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.6,5.4,2.66666666666667,,2.66666666666667,,5.33333333333333,5.33333333333333,35-54
R_71Yloe0ii7uGtla,1,573,0,0,1,55-64,1,2,3,1,1,6,6,7,6,3,4,5,6,6,5,6,6,"5,8",4,3,1,1,,,1,,1,5,5,6,5,6,5,5,5,6,5,5,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.2,5.8,5.33333333333333,,5.33333333333333,,5.33333333333333,5.33333333333333,55+
R_3oC2uPTDNTihQag,1,788,0,0,2,55-64,1,2,2,1,3,7,6,6,6,5,2,5,5,6,6,6,3,"1,3,4,6",4,3,,,1,1,0.800000011920929,,1,,,,5,5,5,6,6,6,,,,3,3,2,3,3,2,influencer_meat_expert_oil,tfft,influencer,expert,1,5,5.2,,2.66666666666667,2.66666666666667,2.66666666666667,,2.66666666666667,55+
R_33CLpSdg3zHWIj7,1,1330,0,2,1,35-44,2,2,5,1,3,4,4,4,4,4,4,4,6,6,4,6,4,6,4,3,,,4,2,0,,1,,,,4,4,4,6,6,6,,,,6,6,6,4,5,4,influencer_meat_expert_oil,ftft,influencer,expert,0,4,5.2,,6,6,4.33333333333333,,4.33333333333333,35-54
R_3v1hhZEIqvyNIkR,1,334,0,0,2,18-24,1,2,2,1,1,4,5,5,6,5,2,6,5,5,5,4,4,1,4,3,,,1,1,0.600000023841858,,1,,,,5,5,5,7,7,7,,,,4,4,4,6,6,6,influencer_meat_expert_oil,tfft,influencer,expert,1,4.6,4.6,,4,4,6,,6,18-34
R_3BfzVqTiFuWWutn,1,207,0,3,2,35-44,1,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,5,5,,,0.800000011920929,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4,4,1,,1,,1,1,35-54
R_6n9VjhUF0A1b7Il,1,254,0,1,1,Under18,1,2,2,1,1,7,7,5,4,7,6,6,6,7,6,5,6,"1,3,4",4,3,,,1,2,1,,1,,,,7,6,7,7,6,6,,,,6,7,6,7,6,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5.8,6,,6.33333333333333,6.33333333333333,6.66666666666667,,6.66666666666667,55+
R_79NBa7Toj69U0nL,1,215,0,0,1,18-24,1,2,2,1,2,6,4,4,6,5,4,5,6,5,6,4,5,"3,4",4,3,1,1,,,1,,1,4,3,4,4,6,5,6,7,7,5,4,5,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.6,5.2,3.66666666666667,,3.66666666666667,,4.66666666666667,4.66666666666667,18-34
R_7ls0RFP9RMywBF7,1,339,0,0,2,45-54,1,2,2,1,3,6,4,5,5,5,4,5,5,5,5,4,5,"1,3,6",4,3,,,1,1,0.800000011920929,,1,,,,3,3,3,6,5,6,,,,4,3,3,3,5,4,influencer_meat_expert_oil,tfft,influencer,expert,1,4.6,4.8,,3.33333333333333,3.33333333333333,4,,4,35-54
R_64o1WxZNCMSe9ep,1,943,0,2,2,45-54,1,2,4,1,3,4,1,1,1,1,1,4,4,1,1,1,1,6,4,3,,,4,3,0.800000011920929,,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,influencer_meat_expert_oil,tfft,influencer,expert,1,1,1.6,,1,1,1,,1,35-54
R_5dt2C6LJXApYhCC,1,410,0,0,1,18-24,1,2,1,1,2,4,5,5,5,5,2,5,6,6,2,4,6,1,4,3,,,1,1,0.800000011920929,,1,,,,4,5,6,5,4,6,,,,5,4,2,5,4,5,influencer_meat_expert_oil,ftft,influencer,expert,1,4.4,4.8,,3.66666666666667,3.66666666666667,4.66666666666667,,4.66666666666667,18-34
R_7OodjkCoDEZYUGo,1,1913,0,1,1,Under18,2,2,5,1,3,2,7,7,7,7,7,7,7,7,7,7,7,"1,2,3,4,6,5",4,3,1,2,,,0.300000011920929,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,7,7,7,,7,,7,7,55+
R_6xWuAVc3eKkiJb2,1,678,0,0,2,18-24,1,2,4,1,2,2,6,7,5,5,5,7,7,7,5,6,6,"1,3,4",4,3,,,1,1,0.600000023841858,,1,,,,6,6,7,6,6,7,,,,6,6,7,6,7,6,influencer_meat_expert_oil,tfft,influencer,expert,1,5.6,6.2,,6.33333333333333,6.33333333333333,6.33333333333333,,6.33333333333333,18-34
R_7f3yQ2WbVTZezSS,1,407,0,0,1,45-54,1,2,4,1,1,6,5,6,6,4,1,5,6,5,3,4,5,"1,6",4,3,1,1,,,1,,1,5,5,5,6,5,6,6,6,6,6,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.4,4.6,5,,5,,6,6,35-54
R_3ZZQUx9xTwYw0HD,1,535,0,0,1,45-54,1,2,2,1,4,7,3,4,5,1,3,7,5,7,3,5,7,8,4,3,1,1,,,0.899999976158142,,1,2,5,1,5,6,6,7,7,7,2,5,1,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,3.2,5.4,2.66666666666667,,2.66666666666667,,2.66666666666667,2.66666666666667,35-54
R_7gLXwwdtAzfmSTW,1,538,0,0,2,18-24,1,2,2,1,4,4,6,6,6,5,5,6,6,6,6,5,6,"1,4",4,3,1,1,,,1,,1,3,5,5,7,7,5,7,5,4,6,7,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.6,5.8,4.33333333333333,,4.33333333333333,,6.33333333333333,6.33333333333333,18-34
R_1XcyZYzQPVrBQAA,1,394,0,2,1,25-34,1,2,5,1,4,4,6,7,5,7,6,7,7,7,7,7,7,"2,3,4",4,3,,,2,2,0.899999976158142,,1,,,,7,6,7,7,6,6,,,,7,7,7,7,6,6,influencer_meat_expert_oil,tfft,influencer,expert,1,6.2,7,,7,7,6.33333333333333,,6.33333333333333,18-34
R_6q8070b7RDtvaWq,1,2347,0,2,1,25-34,1,2,5,1,2,6,6,6,6,5,6,6,6,6,6,6,6,"3,4,6",4,3,4,4,,,0.800000011920929,,1,3,3,3,5,6,5,1,4,6,3,5,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5.8,6,3,,3,,4,4,18-34
R_51GZPYeN7hfbhQU,1,602,0,2,2,25-34,1,1,4,1,1,4,5,5,5,6,6,5,5,6,6,6,5,3,4,3,4,4,,,1,,1,5,6,6,6,6,6,6,6,5,5,5,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5.4,5.6,5.66666666666667,,5.66666666666667,,5.33333333333333,5.33333333333333,18-34
R_7b1OzjJSKiNwcp3,1,231,0,3,1,18-24,1,2,4,1,4,4,5,5,5,4,6,6,6,5,6,5,5,4,4,6,4,2,,,1,,1,7,6,6,7,7,6,6,6,6,6,6,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5,5.4,6.33333333333333,,6.33333333333333,,6.33333333333333,6.33333333333333,18-34
R_5wnbhOkzF7xaVl1,1,2321,0,0,2,18-24,2,2,4,1,3,4,6,6,3,5,1,6,5,6,5,6,4,"1,3",4,3,,,1,1,1,,1,,,,1,1,1,4,4,4,,,,4,5,4,6,5,5,influencer_meat_expert_oil,ftft,influencer,expert,1,4.2,5.2,,4.33333333333333,4.33333333333333,5.33333333333333,,5.33333333333333,18-34
R_3LfSZXMOhPfhIYh,1,341,0,0,2,18-24,,2,2,1,2,6,7,7,7,3,4,7,6,7,4,4,5,"1,2,3",4,3,,,1,1,0.800000011920929,,1,,,,5,5,7,7,7,7,,,,3,2,2,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,5.6,5.2,,2.33333333333333,2.33333333333333,4,,4,18-34
R_1nPvvAGAoIX2MrD,1,2649,0,0,2,18-24,1,1,4,1,4,2,6,5,7,6,6,7,6,6,6,4,6,1,4,3,,,1,1,0.5,,1,,,,7,6,5,6,6,5,,,,6,7,7,6,6,7,influencer_meat_expert_oil,ftft,influencer,expert,1,6,5.6,,6.66666666666667,6.66666666666667,6.33333333333333,,6.33333333333333,18-34
R_6S83Bztl3OZWuxr,1,828,0,0,1,45-54,1,2,4,1,2,2,5,5,7,5,4,5,7,7,5,5,4,"1,2,3,4,6,5",4,3,1,1,,,1,,1,4,4,4,5,4,5,4,4,4,3,4,3,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.2,5.6,4,,4,,3.33333333333333,3.33333333333333,35-54
R_6EaW0iXDgalh3s9,1,3163,0,0,1,45-54,1,2,4,1,3,3,6,6,7,2,5,2,6,6,5,6,6,"1,6",4,3,,,1,1,0.699999988079071,,1,,,,7,7,7,6,6,6,,,,7,7,7,6,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,5.2,5.8,,7,7,4.66666666666667,,4.66666666666667,35-54
R_59g388jdOODoRfM,1,298,0,3,2,18-24,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,,,5,6,0.800000011920929,,1,,,,4,4,4,4,4,4,,,,4,4,4,4,4,4,influencer_meat_expert_oil,tfft,influencer,expert,0,4,4,,4,4,4,,4,18-34
R_6GDF4WNT3tH7pnx,1,582,0,0,2,35-44,1,1,4,1,2,1,6,6,7,6,6,6,7,7,7,7,7,"2,3,4",4,3,1,1,,,0.899999976158142,,1,5,5,4,5,6,6,7,7,7,5,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,6.2,7,4.66666666666667,,4.66666666666667,,4.33333333333333,4.33333333333333,35-54
R_7kFI3nrTU2k9AGP,1,281,0,3,2,35-44,1,1,1,1,4,4,7,7,7,7,7,7,7,6,7,7,6,"3,4",4,4,4,2,,,0.800000011920929,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,7,6.6,7,,7,,7,7,35-54
R_36Poq84hL0Ko1ln,1,851,0,0,2,45-54,1,1,2,1,2,4,5,6,7,5,4,5,5,5,3,5,4,"1,3",4,3,1,1,,,0.800000011920929,,1,6,6,6,6,7,6,7,7,7,6,6,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.4,4.4,6,,6,,6,6,35-54
R_1D0Ahi8he0hvVeO,1,205,0,2,1,18-24,4,1,2,1,4,2,6,5,4,5,5,5,4,5,4,5,6,3,4,3,4,3,,,0.899999976158142,,1,7,4,7,7,4,7,7,4,5,7,4,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5,4.8,6,,6,,6,6,18-34
R_7ltpp9ODJAUMkI0,1,18,0,0,4,18-24,3,,,,,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_3F0oDKDRiWcSrm1,1,517,0,0,1,55-64,4,2,4,1,2,3,6,6,7,3,3,5,6,6,6,6,6,"1,2,4",4,3,,,1,1,0.899999976158142,,1,,,,5,5,5,5,5,5,,,,5,5,5,1,2,3,influencer_meat_expert_oil,ftft,influencer,expert,1,5,6,,5,5,2,,2,55+
R_72JI9gifsMQferK,1,432,0,0,2,Under18,1,1,3,1,1,4,6,5,7,5,1,6,5,5,4,6,5,"3,6",4,3,1,1,,,0.800000011920929,,1,2,4,2,5,5,6,7,7,7,3,4,3,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.8,5,2.66666666666667,,2.66666666666667,,3.33333333333333,3.33333333333333,55+
R_163g3WrX39aLKfO,1,249,0,2,2,Under18,5,1,2,1,4,2,4,4,4,3,7,4,7,6,6,4,4,2,4,2,,,1,2,1,,1,,,,1,1,4,4,6,6,,,,5,6,4,4,4,5,influencer_meat_expert_oil,ftft,influencer,expert,0,4.4,5.4,,5,5,4.33333333333333,,4.33333333333333,55+
